Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SREEL,EQ,1-Jan-14,294.7,297,301,295,301,298,296.49,19014,5637489.95,94,13020,68.48
SREEL,EQ,2-Jan-14,298,314,314,295.3,299.9,299.9,298.94,20015,5983383.3,64,8005,40
SREEL,EQ,3-Jan-14,299.9,300,300,300,300,300,300,5,1500,1,5,100
SREEL,EQ,6-Jan-14,300,290,300,290,300,300,294.44,45,13250,3,45,100
SREEL,EQ,7-Jan-14,300,290.5,312.5,290.5,291.3,291.3,296.59,7513,2228284.3,13,6512,86.68
SREEL,EQ,8-Jan-14,291.3,291,293.5,290,293.5,292.7,292.71,6002,1756830,8,6000,99.97
SREEL,EQ,9-Jan-14,292.7,300.5,302,300.5,302,302,301.26,3500,1054400,4,3500,100
SREEL,EQ,10-Jan-14,302,299,301,299,301,300.05,300.05,633,189932.85,26,633,100
SREEL,EQ,13-Jan-14,300.05,297.5,300,297.5,300,300,298.57,4500,1343575,9,4500,100
SREEL,EQ,14-Jan-14,300,314,314,297,299.95,298.75,298.16,4054,1208727.9,13,4052,99.95
SREEL,EQ,15-Jan-14,298.75,300,300,299,299.5,299.5,299.44,4500,1347500,12,4500,100
SREEL,EQ,16-Jan-14,299.5,299,300,299,300,300,299.5,750,224625,5,750,100
SREEL,EQ,17-Jan-14,300,301,301.5,295,299,297,299.13,6000,1794750,65,6000,100
SREEL,EQ,20-Jan-14,297,300.5,301.5,300.5,301.5,301.5,301,300,90300,5,300,100
SREEL,EQ,22-Jan-14,301.5,296,299,296,299,297.3,297.29,350,104050,25,350,100
SREEL,EQ,23-Jan-14,297.3,298,300,295,295,295,298.99,501,149795,21,500,99.8
SREEL,EQ,24-Jan-14,295,300,301,299,301,301,299.92,6500,1949500,15,6500,100
SREEL,EQ,27-Jan-14,301,297,304.95,297,298,298,297.5,6001,1785304.95,31,6001,100
SREEL,EQ,28-Jan-14,298,298,299,298,299,299,298.5,1000,298500,11,1000,100
SREEL,EQ,29-Jan-14,299,297.5,304.95,297.5,304.95,304.95,297.76,1001,298054.95,11,1001,100
SREEL,EQ,30-Jan-14,304.95,296,298,296,298,298,296.8,2500,742000,7,2500,100
SREEL,EQ,31-Jan-14,298,296,298,296,298,298,296.95,2000,593900,6,2000,100
SREEL,EQ,3-Feb-14,298,297,298,297,298,298,297.5,3000,892500,3,3000,100
SREEL,EQ,5-Feb-14,298,297,298,297,298,297.5,297.5,2000,595000,3,2000,100
SREEL,EQ,6-Feb-14,297.5,298,298,295,295,295,297.99,4020,1197900,7,4020,100
SREEL,EQ,7-Feb-14,295,298,298,298,298,298,298,2000,596000,4,2000,100
SREEL,EQ,10-Feb-14,298,295.05,304.9,295.05,298,298,299.51,7082,2121107.85,23,1000,14.12
SREEL,EQ,11-Feb-14,298,298.05,305,298.05,305,301.5,301.53,2,603.05,2,1,50
SREEL,EQ,12-Feb-14,301.5,297,298,297,298,298,297.33,2000,594650,27,2000,100
SREEL,EQ,13-Feb-14,298,297,305,297,305,305,297.43,2511,746855,16,2511,100
SREEL,EQ,14-Feb-14,305,297,304.9,297,304.9,304.9,297.5,5001,1487804.9,9,5000,99.98
SREEL,EQ,17-Feb-14,304.9,297,297,297,297,297,297,7500,2227500,6,7500,100
SREEL,EQ,18-Feb-14,297,298,298,298,298,298,298,3000,894000,4,3000,100
SREEL,EQ,19-Feb-14,298,298,298,297,298,298,297.56,4500,1339000,5,4500,100
